epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4006,2.92829,4.11286,1.76074,0,0,0,0,2.55678,3.9824,1.55503,0.0001,0.0001,0.0001
2,30.871,2.32974,3.13769,1.38238,0.02014,0.86335,0.04138,0.01386,2.13009,3.54199,1.28522,0.000215644,0.000215644,0.000215644
3,44.1506,2.29029,1.85195,1.32881,0.02174,0.93168,0.07821,0.03044,2.00397,3.1313,1.2097,0.000326536,0.000326536,0.000326536
4,56.4245,2.22333,1.57834,1.29144,0.02181,0.93478,0.20832,0.0612,2.20146,2.98788,1.26445,0.000432676,0.000432676,0.000432676
5,68.6953,2.08202,1.47046,1.28353,0.02181,0.93478,0.04711,0.01721,2.03619,3.13964,1.22228,0.000534064,0.000534064,0.000534064
6,80.8303,2.08874,1.40141,1.21695,0.02232,0.95652,0.04638,0.01795,1.9401,3.03672,1.19682,0.0006307,0.0006307,0.0006307
7,92.9457,2.10711,1.39191,1.30203,0.02167,0.92857,0.40989,0.1045,2.15402,2.90921,1.28138,0.000722584,0.000722584,0.000722584
8,104.826,2.10534,1.26986,1.28894,0.02094,0.89752,0.05095,0.0171,2.15825,2.95873,1.30303,0.000809716,0.000809716,0.000809716
9,116.705,2.05527,1.22843,1.22992,0.0221,0.9472,0.11112,0.03975,2.0001,2.85498,1.23716,0.000892096,0.000892096,0.000892096
10,129.168,2.10506,1.22871,1.26623,0.02268,0.97205,0.88243,0.32042,1.94514,2.51795,1.2423,0.000969724,0.000969724,0.000969724
11,141.547,2.09796,1.19181,1.27533,0.02246,0.96273,0.87588,0.28829,2.04517,2.44718,1.27286,0.0010426,0.0010426,0.0010426
12,154.468,2.02683,1.16666,1.24902,0.02275,0.97516,0.91629,0.35023,1.91309,2.12978,1.22418,0.00111072,0.00111072,0.00111072
13,167.507,2.02848,1.19359,1.24584,0.81882,0.93168,0.92656,0.35895,1.92418,1.89004,1.23061,0.0011741,0.0011741,0.0011741
14,180.447,2.08109,1.20971,1.231,0.77789,0.93478,0.85211,0.32139,1.98507,1.96018,1.24865,0.00123272,0.00123272,0.00123272
15,193.861,2.00984,1.15461,1.22445,0.77789,0.93478,0.85211,0.32139,1.98507,1.96018,1.24865,0.00128658,0.00128658,0.00128658
16,206.958,2.01611,1.173,1.22078,0.94742,0.89537,0.93885,0.3741,1.90088,1.93615,1.20909,0.0013357,0.0013357,0.0013357
17,219.884,2.0195,1.12316,1.19519,0.95328,0.88716,0.94556,0.35077,1.95248,1.74901,1.23947,0.0013664,0.0013664,0.0013664
18,233.851,2.0551,1.0969,1.17167,0.7754,0.85093,0.85745,0.32151,1.96851,1.50658,1.24886,0.0013268,0.0013268,0.0013268
19,246.841,1.99104,1.14688,1.22231,0.7754,0.85093,0.85745,0.32151,1.96851,1.50658,1.24886,0.0012872,0.0012872,0.0012872
20,258.953,2.03121,1.09524,1.2404,0.95205,0.90373,0.92855,0.34178,1.98416,1.47433,1.23963,0.0012476,0.0012476,0.0012476
21,271.17,1.99737,1.18614,1.26181,0.93019,0.9472,0.94232,0.36408,1.95322,1.59242,1.21851,0.001208,0.001208,0.001208
22,283.596,1.95991,1.08537,1.2155,0.93702,0.92404,0.93229,0.33992,1.98916,1.46995,1.24686,0.0011684,0.0011684,0.0011684
